Media Errore
0.4945 0
0.4963 0.0018
0.5024 0.00618789
0.4995 0.00524929
0.49892 0.00410724
0.498967 0.00335387
0.499614 0.00290758
0.499 0.00259188
0.498789 0.00229555
0.50052 0.00268559
0.499791 0.00253626
0.499125 0.00240914
0.499208 0.00221763
0.499121 0.00205494
0.498767 0.00194566
0.4978 0.00206078
0.497847 0.00193634
0.49805 0.00183685
0.497742 0.00176455
0.498495 0.00183552
0.498443 0.00174671
0.499127 0.00180057
0.499339 0.0017335
0.499363 0.00165986
0.499244 0.00159649
0.499562 0.00156638
0.499796 0.00152542
0.499818 0.00147009
0.49989 0.00142031
0.499533 0.00141766
0.499706 0.00138205
0.499753 0.00133898
0.499888 0.00130475
0.499906 0.00126592
0.499737 0.00124074
0.4998 0.00120742
0.499786 0.00117442
0.499668 0.00114917
0.499872 0.00113765
0.499798 0.00111133
0.49991 0.00108968
0.49965 0.00109468
0.499742 0.00107286
0.499514 0.00107275
0.499591 0.0010515
0.499707 0.00103484
0.499736 0.00101302
0.499713 0.000991974
0.499704 0.000971555
0.49936 0.0010122
0.499476 0.00099897
0.499454 0.000979832
0.499296 0.000974005
0.499274 0.000956055
0.49926 0.000938616
0.499207 0.000923217
0.499402 0.000927522
0.499502 0.000916857
0.499366 0.000911331
0.499402 0.000896719
0.499357 0.000883007
0.499434 0.00087201
0.499422 0.000858136
0.499486 0.000847021
0.499509 0.000834213
0.499342 0.000838241
0.49941 0.000828433
0.499406 0.000816172
0.499217 0.000826049
0.499237 0.000814402
0.499293 0.000804788
0.499337 0.000794781
0.499349 0.000783907
0.499381 0.000773893
0.499421 0.000764565
0.499418 0.000754443
0.499304 0.000753337
0.499391 0.000748703
0.499363 0.000739685
0.499349 0.000730526
0.499386 0.000722433
0.499415 0.000714126
0.499395 0.000705738
0.499574 0.000719803
0.499748 0.000732359
0.499642 0.000731568
0.499632 0.000723175
0.499538 0.000721152
0.499501 0.000713931
0.499432 0.000709308
0.49948 0.000703111
0.499525 0.000696866
0.499451 0.000693342
0.499437 0.000686056
0.499469 0.000679561
0.499416 0.000674598
0.499521 0.000675812
0.499623 0.000676742
0.499651 0.000670417
0.499636 0.000663837
