Media Errore
0.4894 0
0.4924 0.003
0.4961 0.00408534
0.493875 0.00364632
0.49802 0.00501581
0.498083 0.00409589
0.497271 0.00355559
0.497488 0.00308681
0.498467 0.00289305
0.49904 0.00265038
0.498582 0.00244075
0.498842 0.00224319
0.499123 0.00208253
0.499 0.00193198
0.498933 0.00179981
0.499437 0.00175743
0.499106 0.0016838
0.498894 0.00160152
0.498879 0.00151497
0.49948 0.00155784
0.499424 0.00148287
0.499255 0.00142396
0.49893 0.00139871
0.498871 0.00134049
0.499068 0.00130078
0.499258 0.00126406
0.499344 0.00121943
0.499343 0.00117508
0.499083 0.00116328
0.49913 0.00112483
0.499303 0.00110165
0.499397 0.00107077
0.499488 0.00104179
0.499065 0.0010957
0.499046 0.00106411
0.499031 0.00103424
0.499054 0.00100617
0.499221 0.000993472
0.499436 0.000991227
0.499593 0.000978738
0.499329 0.000990197
0.49931 0.000966535
0.499188 0.000951534
0.499223 0.000930292
0.499409 0.000928243
0.499441 0.000908418
0.499181 0.000926252
0.49909 0.000911332
0.49909 0.000892539
0.499366 0.000917088
0.499273 0.00090377
0.499275 0.000886223
0.499164 0.00087638
0.499202 0.000860823
0.499282 0.000848802
0.499213 0.000836385
0.499465 0.00085948
0.499543 0.000848143
0.499431 0.000841214
0.499398 0.0008277
0.499457 0.000816157
0.499685 0.00083466
0.499521 0.000837685
0.499583 0.000826833
0.499646 0.000816474
0.499485 0.00082003
0.49951 0.000808103
0.499459 0.000797803
0.499355 0.000792972
0.499519 0.00079848
0.499617 0.000793271
0.499733 0.000790795
0.499733 0.000779887
0.499784 0.000770958
0.49968 0.000767657
0.499743 0.000760139
0.499664 0.000754433
0.499599 0.000747522
0.499652 0.000739913
0.499665 0.000730723
0.499667 0.000721647
0.499427 0.00075206
0.499436 0.000743003
0.499314 0.000744149
0.499242 0.000738852
0.499452 0.0007598
0.499459 0.000751042
0.499502 0.000743741
0.499467 0.000736162
0.499467 0.000727937
0.499392 0.000723724
0.499426 0.00071661
0.499357 0.000712223
0.49944 0.000709528
0.499478 0.000703019
0.499368 0.000704329
0.499389 0.000697345
0.49931 0.000694638
0.499249 0.00069026
0.499308 0.000685823
