Media Errore
5.01766 0
4.98248 0.0351853
5.04305 0.0638866
5.02356 0.0491995
5.02465 0.0381253
5.00479 0.0369248
5.01089 0.0317978
5.02607 0.0314437
5.026 0.0277308
5.03406 0.0260776
5.03349 0.0235949
5.02402 0.023529
5.03023 0.0225164
5.02948 0.0208595
5.01929 0.0219287
5.00407 0.0255429
5.00552 0.0240367
5.00724 0.0227275
5.00018 0.0226278
5.00507 0.0220168
5.00211 0.02115
5.00619 0.0205738
5.00304 0.0199088
5.00412 0.0190917
5.00494 0.0183302
5.00637 0.0176692
5.0072 0.0170223
5.00724 0.0164032
5.01046 0.0161524
5.00483 0.0165913
5.00253 0.0162109
5.00723 0.0163838
5.00708 0.0158802
5.01137 0.0159926
5.0128 0.0155944
5.01208 0.0151721
5.01524 0.0150908
5.01912 0.0151926
5.02255 0.0151904
5.02316 0.0148184
5.02423 0.0144918
5.0206 0.0146008
5.01922 0.0143235
5.01904 0.0139954
5.02121 0.013852
5.0207 0.0135571
5.02157 0.0132945
5.01849 0.0133744
5.01875 0.0131011
5.01118 0.0149006
5.01346 0.0147818
5.01193 0.0145757
5.00927 0.0145418
5.00755 0.0143736
5.00752 0.0141098
5.00632 0.0139075
5.00721 0.0136901
5.00514 0.0136096
5.00337 0.0134946
5.00323 0.0132684
5.00153 0.013159
5.00325 0.0130579
5.003 0.0128514
5.00236 0.012665
5.00289 0.0124799
5.00053 0.0125146
5.00078 0.012329
4.99975 0.0121894
4.99796 0.0121443
4.99867 0.0119907
4.99904 0.0118263
4.99938 0.0116657
5.00136 0.0116752
5.00061 0.0115408
5.00149 0.0114194
4.99851 0.0116534
4.997 0.0116005
4.99775 0.0114752
4.99837 0.011346
4.99863 0.0112063
4.99934 0.0110898
5.00021 0.0109882
4.99962 0.0108708
5.00072 0.0107968
5.00259 0.0108312
5.0005 0.0109069
5.0015 0.0108268
4.99997 0.0108111
4.99923 0.0107146
4.99889 0.0106004
4.99984 0.0105263
4.99986 0.0104113
5.00042 0.0103137
5.00023 0.0102051
5.00003 0.0100991
4.99893 0.0100534
4.99877 0.00995046
5.00105 0.0101074
5.00267 0.010135
5.00095 0.0101781
