Media Errore
1.46699 0
1.46742 0.000437088
1.48479 0.0173703
1.47242 0.0174363
1.48772 0.0204135
1.48365 0.0171587
1.47726 0.0158484
1.47744 0.0137263
1.48261 0.0131624
1.48523 0.0120613
1.48733 0.0111096
1.49235 0.0113178
1.49269 0.0104164
1.49023 0.00995278
1.48972 0.00927971
1.49187 0.00894242
1.49101 0.00844289
1.48727 0.0087958
1.48836 0.00839036
1.49123 0.00846376
1.49112 0.00805147
1.48968 0.00781091
1.48752 0.00776786
1.48899 0.00758023
1.4914 0.0076598
1.49324 0.00758581
1.49508 0.00752685
1.49568 0.00727788
1.49468 0.00709293
1.49444 0.00685667
1.49415 0.00663802
1.4944 0.00643206
1.49622 0.00649563
1.49468 0.00648798
1.49448 0.00630293
1.49611 0.00633737
1.49667 0.00618865
1.49672 0.00602385
1.49749 0.00591781
1.49738 0.00576898
1.49741 0.00562657
1.49768 0.00549744
1.49766 0.0053681
1.49672 0.00532852
1.49746 0.0052609
1.49831 0.00521599
1.49744 0.00517709
1.49612 0.00523921
1.49654 0.00514826
1.49637 0.00504685
1.49633 0.00494714
1.4959 0.0048697
1.49481 0.00489981
1.49536 0.00483937
1.49459 0.00481209
1.49439 0.00472953
1.49618 0.00497891
1.49556 0.00493144
1.49531 0.00485373
1.49461 0.00482375
1.49439 0.00474877
1.4955 0.00480087
1.49497 0.00475369
1.49615 0.0048259
1.496 0.00475365
1.49574 0.00468827
1.49626 0.0046478
1.49577 0.00460585
1.49528 0.00456463
1.49673 0.00472739
1.49733 0.00469828
1.49722 0.00463379
1.49798 0.00463164
1.49845 0.00459325
1.4981 0.00454483
1.49784 0.00449219
1.49724 0.00447369
1.49784 0.00445617
1.49843 0.0044383
1.49818 0.00438946
1.49827 0.00433586
1.49846 0.00428681
1.49871 0.004242
1.49758 0.00434042
1.49767 0.00429003
1.49779 0.00424164
1.49798 0.00419696
1.49838 0.00416769
1.49828 0.00412183
1.49845 0.00407965
1.49791 0.00407073
1.49815 0.0040333
1.49844 0.00400046
1.49813 0.00397003
1.49744 0.00398768
1.4968 0.00399791
1.4966 0.00396185
1.49681 0.00392731
1.49622 0.0039323
1.49655 0.00390638
