Media Errore
0.4953 0
0.499 0.0037
0.503033 0.00456411
0.502 0.00338871
0.50182 0.00263105
0.502633 0.00229705
0.501214 0.0024047
0.501125 0.00208444
0.500278 0.00202414
0.49991 0.00184743
0.500782 0.00188481
0.500433 0.00175553
0.500546 0.00161878
0.501179 0.00162667
0.500293 0.00175411
0.500944 0.00176503
0.501012 0.00165935
0.500839 0.00157397
0.500958 0.00149358
0.500765 0.00143
0.500748 0.00136032
0.500891 0.0013049
0.500596 0.00128136
0.500417 0.00123979
0.500572 0.00119927
0.500869 0.00118994
0.501052 0.00115949
0.501261 0.00113667
0.501324 0.00109861
0.501093 0.00108616
0.501094 0.00105054
0.500994 0.00102206
0.501133 0.00100039
0.501065 0.000972949
0.501189 0.000952827
0.501164 0.00092631
0.501041 0.000909331
0.500692 0.000951194
0.500628 0.000928685
0.500423 0.00092825
0.500478 0.000907029
0.500464 0.000885277
0.500458 0.000864465
0.500541 0.000848636
0.500456 0.000833943
0.500307 0.000829116
0.500347 0.000812283
0.50024 0.000802378
0.500308 0.000788819
0.500292 0.00077305
0.500227 0.000760485
0.500423 0.00077095
0.500506 0.000760759
0.500626 0.000756164
0.500687 0.000744818
0.500698 0.000731479
0.500635 0.000721299
0.500626 0.000708814
0.500786 0.000714963
0.500808 0.000703286
0.500841 0.000692431
0.500903 0.000684009
0.500948 0.000674527
0.501075 0.000676013
0.501018 0.000667929
0.50082 0.000687108
0.500758 0.000679563
0.500712 0.000671103
0.500667 0.000662842
0.500573 0.000660005
0.500314 0.000700214
0.500315 0.000690421
0.50043 0.000690517
0.500312 0.000691263
0.500388 0.000686188
0.500237 0.000693766
0.500295 0.000687146
0.500276 0.00067855
0.500266 0.000669978
0.500211 0.000663797
0.500123 0.000661403
0.50018 0.000655772
0.500181 0.000647823
0.500139 0.000641405
0.500105 0.000634756
0.500023 0.000632598
0.500021 0.000625289
0.499857 0.000639496
0.499844 0.000632403
0.499904 0.000628269
0.499884 0.000621679
0.499927 0.000616432
0.500059 0.000623884
0.500066 0.000617249
0.500039 0.000611314
0.499989 0.000607009
0.499893 0.000608303
0.499839 0.000604482
0.499899 0.000601367
0.499866 0.000596236
