Media Errore
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
0.991618 0.00838182
0.976932 0.0167868
0.963326 0.0212328
0.950622 0.0242315
0.938108 0.0266839
0.926397 0.0284903
0.915541 0.0297982
0.9051 0.0308634
0.895373 0.0316338
0.885926 0.0322845
0.876993 0.032766
0.868539 0.0331102
0.860324 0.0333922
0.852204 0.0336525
0.844813 0.0337481
0.837475 0.0338426
0.830665 0.0338371
0.82406 0.033805
0.817596 0.0337601
0.811737 0.0336191
0.805875 0.0334955
0.800237 0.0333494
0.794878 0.0331732
0.789732 0.0329794
0.784582 0.0328024
0.779678 0.0326029
0.775066 0.0323757
0.770635 0.0321384
0.766003 0.0319447
0.761906 0.0316912
0.757733 0.0314621
0.753759 0.0312206
0.749794 0.0309912
0.745912 0.0307639
0.742393 0.030505
0.738882 0.0302574
0.735523 0.0300043
0.73215 0.0297643
0.728797 0.029533
0.725643 0.0292903
0.722655 0.0290404
0.719603 0.0288074
0.716699 0.0285687
0.713811 0.0283378
0.711178 0.028091
0.708486 0.0278589
0.705786 0.0276362
0.7032 0.0274108
0.700711 0.0271845
0.698304 0.0269586
0.695842 0.0267454
0.693501 0.0265285
0.691138 0.0263209
0.688843 0.0261141
0.68674 0.0258977
0.684405 0.025708
0.682317 0.0255031
0.680368 0.0252934
0.678349 0.0250952
0.676451 0.0248934
0.674586 0.0246948
0.672766 0.0244984
0.670856 0.0243143
0.669027 0.024129
0.66721 0.023948
0.665522 0.0237624
0.663953 0.0235735
0.662221 0.0234007
