Media Errore
5.17476 0
5.06426 0.110506
5.06359 0.0638045
5.07365 0.0462244
5.053 0.0413296
5.01316 0.0522171
5.00502 0.0448759
5.00583 0.0388722
5.01808 0.0364067
5.02286 0.032911
5.02284 0.0297691
5.00909 0.0304564
5.00431 0.0284206
4.99437 0.0281268
4.99001 0.0265449
4.99606 0.0255557
4.9893 0.0249375
4.98575 0.0237774
4.99059 0.0230042
4.98396 0.0228063
4.98517 0.0217266
4.9836 0.0207748
4.99005 0.020874
4.99393 0.0203586
4.99406 0.0195276
4.99545 0.0188133
5.00294 0.0195909
5.00194 0.0189049
5.00395 0.0183521
5.00296 0.0177572
5.00234 0.0171862
5.00265 0.0166433
5.00018 0.0163185
4.99898 0.0158764
4.99588 0.0157256
4.9967 0.0153044
5.00055 0.0153757
5.00481 0.015559
5.00743 0.0153799
5.01069 0.0153416
5.00717 0.0153721
5.00517 0.0151337
5.00625 0.0148172
5.00852 0.014652
5.00492 0.0147668
5.00586 0.0144726
5.00434 0.0142426
5.00422 0.0139432
5.00169 0.0138892
5.00117 0.0136183
5.00232 0.0133978
5.00337 0.0131799
5.00082 0.0131777
5.00245 0.013033
5.00242 0.0127939
5.00057 0.0126987
5.00086 0.0124773
4.99927 0.0123628
5.00016 0.0121841
5.00208 0.0121314
5.00157 0.0119417
5.00154 0.0117475
4.99979 0.0116905
4.99977 0.0115064
4.99936 0.0113355
4.99994 0.0111775
5.00087 0.0110488
4.99946 0.0109761
4.99993 0.0108258
4.99914 0.0106988
4.99923 0.0105474
4.99935 0.0104006
5.00044 0.010315
5.00105 0.0101927
5.00204 0.0101049
5.00235 0.00997562
5.00053 0.0100112
4.99959 0.0099261
4.99991 0.00980481
5.0003 0.00968919
5.00195 0.00971088
5.00093 0.00964681
4.99952 0.00963307
5.00294 0.0101142
5.00139 0.0101145
5.00169 0.0100007
5.00095 0.00991268
5.00087 0.00979972
4.9991 0.00984865
4.99701 0.00996039
4.99693 0.0098507
4.99581 0.00980628
4.99658 0.00973041
4.9952 0.00972418
4.99638 0.00969247
4.99537 0.00964398
4.99479 0.0095616
4.99701 0.00972091
4.99783 0.00965725
4.99643 0.00966232
