Media Errore
1139.25 0
1240.68 101.43
1318.45 97.3516
1370.47 86.2829
1455.6 108.23
1537.47 120.463
1618.3 129.998
1680.7 128.716
1737.22 126.812
1793.6 126.664
1854.32 129.664
1909.33 130.525
1966.9 133.157
2006.62 129.52
2032.92 123.412
2060 118.573
2090.35 115.441
2121.83 113.301
2150.5 110.94
2178.48 108.903
2195.49 104.975
2209.16 101.019
2214.06 96.6512
2206.44 92.8497
2192.04 90.2159
2171.92 88.9791
2156.71 86.9623
2143.36 84.8545
2130.18 82.9307
2120.79 80.6675
2120.5 78.0224
2125.36 75.7012
2131.64 73.6393
2138.41 71.7606
2146.02 70.0955
2150.99 68.3011
2158.7 66.876
2167.61 65.6984
2175.44 64.4695
2187.85 64.0515
2201.63 63.9707
2216.88 64.2641
2229.83 64.0748
2238.64 63.219
2245.11 62.1351
2251.21 61.0754
2258.55 60.2102
2263.59 59.1581
2267.91 58.099
2272.13 57.0809
2278.89 56.3573
2285.74 55.6867
2293.16 55.1275
2299.6 54.4788
2308.99 54.2959
2322.56 55.0192
2336.66 55.8525
2349.38 56.3362
2361.69 56.7252
2377.66 58.0128
2395.37 59.7388
2412.81 61.3026
2428.8 62.4034
2442.25 62.877
2453.69 62.9508
2462.19 62.569
2473.84 62.7206
2487.04 63.1841
2499.89 63.5753
2509.87 63.4491
2521.85 63.6861
2532.67 63.7216
2543.04 63.6927
2553.55 63.6982
2563.7 63.6574
2571.37 63.2815
2581.03 63.1967
2591.05 63.1813
2603.18 63.5434
2615.47 63.937
2627.06 64.1972
2638.59 64.4497
2652.31 65.1296
2664.11 65.4234
2676.42 65.8101
2687.28 65.9411
2698.52 66.1408
2709.55 66.3086
2720.5 66.4672
2731.66 66.6651
2742.12 66.7541
2751.95 66.752
2761.83 66.7643
2774.79 67.3103
2791.07 68.5603
2804.87 69.2307
2818.15 69.7877
2829.23 69.9563
2841 70.2377
2852.01 70.3994
