Media Errore
1.563 0
1.53961 0.0233891
1.54926 0.0165985
1.52967 0.0228409
1.53877 0.019898
1.54148 0.0164709
1.526 0.0208216
1.52632 0.018035
1.51839 0.0177727
1.51645 0.0160143
1.51953 0.0148094
1.51641 0.0138751
1.51417 0.0129584
1.5101 0.0126701
1.50611 0.0124502
1.50426 0.0117928
1.50285 0.0111665
1.50387 0.0105778
1.50246 0.0101044
1.5029 0.00959587
1.50326 0.00913433
1.50562 0.00902512
1.50446 0.00870145
1.50494 0.00834485
1.50559 0.00803038
1.50674 0.00780095
1.50664 0.00750718
1.5073 0.00726444
1.5093 0.00728827
1.50885 0.0070557
1.50831 0.00684513
1.50989 0.00681252
1.51007 0.00660519
1.50963 0.00642262
1.50944 0.00623946
1.50974 0.00607097
1.50999 0.00591026
1.50841 0.00596625
1.50973 0.00596012
1.5068 0.00651052
1.50788 0.00644142
1.50784 0.0062863
1.50756 0.00614484
1.50728 0.00600993
1.50659 0.00591554
1.50622 0.00579741
1.50664 0.0056885
1.50694 0.00557703
1.50783 0.00553255
1.50687 0.00550411
1.50726 0.00540905
1.50744 0.00530702
1.50763 0.00520939
1.50738 0.00511778
1.50666 0.00507536
1.50723 0.005016
1.50735 0.0049287
1.50797 0.00488209
1.5089 0.00488825
1.50975 0.00488154
1.50964 0.00480231
1.50968 0.00472442
1.50924 0.00466983
1.50936 0.00459786
1.5093 0.0045269
1.50832 0.00456375
1.50743 0.00458421
1.50797 0.00454939
1.50745 0.00451338
1.50726 0.00445262
1.50587 0.0046024
1.50499 0.00462397
1.50512 0.0045622
1.50434 0.00456717
1.50366 0.00455769
1.50238 0.00467602
1.50251 0.00461697
1.5024 0.00455876
1.5023 0.00450187
1.50232 0.00444529
1.5019 0.00441051
1.50243 0.00438907
1.5021 0.00434863
1.50232 0.00430229
1.50255 0.0042574
1.50203 0.00423953
1.5021 0.00419122
1.5015 0.00418763
1.5017 0.00414513
1.50158 0.00410047
1.50168 0.00405642
1.50199 0.00402351
1.5027 0.00404316
1.50219 0.00403156
1.50224 0.00398916
1.50195 0.00395807
1.50165 0.00392866
1.5015 0.00389101
1.50163 0.00385358
1.50106 0.00385783
