Media Errore
981.702 0
980.29 1.41142
983.802 3.6049
995.572 12.0432
1001.63 11.121
1017.29 18.1081
1046.72 33.1722
1084.47 47.4382
1108.8 48.395
1137.03 51.6793
1170.94 57.7461
1200.96 60.667
1222.11 59.6762
1236.37 57.0596
1247.68 54.3105
1247.32 50.8041
1241.56 48.0683
1238.41 45.4285
1238.81 42.9729
1239.4 40.772
1236.4 38.8983
1226.14 38.4813
1216.62 37.9824
1205.36 38.0662
1195.68 37.7748
1188.04 37.0877
1181.2 36.3366
1169.97 36.7727
1156.21 38.056
1142.91 39.0994
1126.23 41.3326
1105.97 44.8549
1078.05 51.6665
1046.39 59.2874
1016.53 64.8489
988.34 69.0408
961.667 72.2523
936.398 74.7273
912.428 76.6314
889.653 78.0863
867.99 79.1789
847.359 79.9774
827.688 80.5346
808.912 80.8924
790.969 81.0845
773.806 81.1383
757.374 81.0757
741.627 80.9157
726.523 80.6737
712.022 80.3629
698.09 79.9939
684.695 79.576
671.805 79.1172
659.391 78.6244
647.43 78.1031
635.896 77.558
624.767 76.9938
614.022 76.4139
603.641 75.8216
593.607 75.2195
583.899 74.6103
574.507 73.9956
565.411 73.3775
556.6 72.7574
548.059 72.1367
539.777 71.5164
531.743 70.8976
523.946 70.2811
516.375 69.6676
509.02 69.058
501.871 68.4527
494.921 67.8521
488.162 67.2567
481.585 66.6669
475.183 66.0828
468.949 65.5047
462.879 64.9328
456.964 64.3673
451.198 63.8083
445.577 63.2559
440.095 62.7102
434.747 62.1712
429.526 61.639
424.431 61.1136
419.455 60.595
414.595 60.0831
409.847 59.578
405.206 59.0797
400.67 58.5879
396.235 58.1028
391.897 57.6242
387.654 57.1522
383.502 56.6866
379.438 56.2273
375.459 55.7744
371.564 55.3277
367.749 54.8871
364.012 54.4525
360.35 54.0239
356.761 53.6012
